-----------------------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------
BM_exp_float/1                       5.15 ns         5.15 ns    132199884 items_per_second=194.241M/s
BM_exp_float/2                       8.39 ns         8.38 ns     83551765 items_per_second=238.566M/s
BM_exp_float/4                       15.8 ns         15.8 ns     46646841 items_per_second=253.272M/s
BM_exp_float/8                       28.1 ns         28.1 ns     24919356 items_per_second=284.703M/s
BM_exp_float/16                      54.3 ns         54.3 ns     12923554 items_per_second=294.748M/s
BM_exp_float/32                       114 ns          114 ns      6140922 items_per_second=281.062M/s
BM_exp_float/64                       218 ns          218 ns      3206059 items_per_second=293.315M/s
BM_exp_float/128                      427 ns          427 ns      1642833 items_per_second=299.907M/s
BM_exp_float/256                      848 ns          848 ns       818308 items_per_second=301.997M/s
BM_exp_float_fast/1                  4.14 ns         4.14 ns    168778845 items_per_second=241.384M/s
BM_exp_float_fast/2                  5.66 ns         5.66 ns    124171576 items_per_second=353.271M/s
BM_exp_float_fast/4                  5.36 ns         5.36 ns    131193935 items_per_second=746.771M/s
BM_exp_float_fast/8                  5.33 ns         5.32 ns    131175278 items_per_second=1.50292G/s
BM_exp_float_fast/16                 5.92 ns         5.91 ns    118281033 items_per_second=2.70578G/s
BM_exp_float_fast/32                 7.53 ns         7.53 ns     92515930 items_per_second=4.25098G/s
BM_exp_float_fast/64                 13.2 ns         13.2 ns     53188222 items_per_second=4.8643G/s
BM_exp_float_fast/128                23.6 ns         23.6 ns     29609986 items_per_second=5.42549G/s
BM_exp_float_fast/256                49.6 ns         49.6 ns     13964801 items_per_second=5.16137G/s
BM_exp_float_very_fast/1             2.43 ns         2.43 ns    287289704 items_per_second=411.696M/s
BM_exp_float_very_fast/2             2.97 ns         2.97 ns    235438823 items_per_second=672.846M/s
BM_exp_float_very_fast/4             4.02 ns         4.02 ns    174161805 items_per_second=994.829M/s
BM_exp_float_very_fast/8             3.56 ns         3.56 ns    196331014 items_per_second=2.24746G/s
BM_exp_float_very_fast/16            4.92 ns         4.92 ns    143906244 items_per_second=3.25453G/s
BM_exp_float_very_fast/32            5.74 ns         5.74 ns    120815203 items_per_second=5.57867G/s
BM_exp_float_very_fast/64            9.34 ns         9.34 ns     74921418 items_per_second=6.85209G/s
BM_exp_float_very_fast/128           14.1 ns         14.1 ns     49749735 items_per_second=9.05119G/s
BM_exp_float_very_fast/256           27.8 ns         27.7 ns     25227723 items_per_second=9.22541G/s
BM_exp_double/1                      8.30 ns         8.29 ns     83858742 items_per_second=120.559M/s
BM_exp_double/2                      15.4 ns         15.4 ns     45145565 items_per_second=129.796M/s
BM_exp_double/4                      28.0 ns         28.0 ns     24954266 items_per_second=143.049M/s
BM_exp_double/8                      54.3 ns         54.3 ns     12885614 items_per_second=147.456M/s
BM_exp_double/16                      116 ns          116 ns      6020159 items_per_second=137.944M/s
BM_exp_double/32                      220 ns          220 ns      3174244 items_per_second=145.497M/s
BM_exp_double/64                      430 ns          429 ns      1630964 items_per_second=149.046M/s
BM_exp_double/128                     846 ns          845 ns       825575 items_per_second=151.401M/s
BM_exp_double/256                    1700 ns         1700 ns       410733 items_per_second=150.612M/s
BM_exp_double_as_float/1             5.70 ns         5.70 ns    123034934 items_per_second=175.492M/s
BM_exp_double_as_float/2             9.56 ns         9.55 ns     73457327 items_per_second=209.33M/s
BM_exp_double_as_float/4             18.0 ns         18.0 ns     39114998 items_per_second=222.184M/s
BM_exp_double_as_float/8             34.1 ns         34.1 ns     20509958 items_per_second=234.861M/s
BM_exp_double_as_float/16            66.6 ns         66.6 ns     10495528 items_per_second=240.223M/s
BM_exp_double_as_float/32             138 ns          138 ns      5065310 items_per_second=232.057M/s
BM_exp_double_as_float/64             268 ns          268 ns      2615610 items_per_second=239.093M/s
BM_exp_double_as_float/128            529 ns          528 ns      1325161 items_per_second=242.253M/s
BM_exp_double_as_float/256           1050 ns         1050 ns       664339 items_per_second=243.913M/s
BM_exp_double_fast/1                 3.56 ns         3.56 ns    197024832 items_per_second=280.755M/s
